"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify registration fails given {desc}","2162","verifyRegistrationFailsGivenInvalidUserInfo","API TestSuite","Tue Jul 22 09:21:51 GMT 2025","failed","Tue Jul 22 09:21:53 GMT 2025","com.talendradar.tests.api.users.registration.RegisterUserTests","Authentication Tests","com.talendradar.tests.api.users.registration.RegisterUserTests","verifyRegistrationFailsGivenInvalidUserInfo"
"Verify password field is not susceptible to xss attacks","10005","verifyPasswordIsNotSusceptibleToXSSAttacks","End-to-End TestSuite","Tue Jul 22 09:23:36 GMT 2025","failed","Tue Jul 22 09:23:46 GMT 2025","com.talendradar.tests.e2e.auth.LoginTests","Auth Module Tests","com.talendradar.tests.e2e.auth.LoginTests","verifyPasswordIsNotSusceptibleToXSSAttacks"
"Verify password field is not susceptible to xss attacks","10006","verifyPasswordIsNotSusceptibleToXSSAttacks","End-to-End TestSuite","Tue Jul 22 09:23:25 GMT 2025","failed","Tue Jul 22 09:23:35 GMT 2025","com.talendradar.tests.e2e.auth.LoginTests","Auth Module Tests","com.talendradar.tests.e2e.auth.LoginTests","verifyPasswordIsNotSusceptibleToXSSAttacks"
"Verify immediate validation given {desc}","10005","verifyUIValidationReliability","End-to-End TestSuite","Tue Jul 22 09:23:48 GMT 2025","failed","Tue Jul 22 09:23:58 GMT 2025","com.talendradar.tests.e2e.auth.LoginTests","Auth Module Tests","com.talendradar.tests.e2e.auth.LoginTests","verifyUIValidationReliability"
"Verify sessions filtering","1527","verifyUserSessionsFiltering","API TestSuite","Tue Jul 22 09:22:12 GMT 2025","failed","Tue Jul 22 09:22:14 GMT 2025","com.talendradar.tests.api.admin.sessions.RetrieveSessionsTests","User Management Tests","com.talendradar.tests.api.admin.sessions.RetrieveSessionsTests","verifyUserSessionsFiltering"
"Verify admin can create and send registration invites","2202","verifyAdminCanRegisterUser","API TestSuite","Tue Jul 22 09:21:43 GMT 2025","passed","Tue Jul 22 09:21:45 GMT 2025","com.talendradar.tests.api.users.registration.RegisterUserTests","Authentication Tests","com.talendradar.tests.api.users.registration.RegisterUserTests","verifyAdminCanRegisterUser"
"Verify admin can revoke session","2079","verifyAdminCanRevokeSession","API TestSuite","Tue Jul 22 09:22:14 GMT 2025","failed","Tue Jul 22 09:22:16 GMT 2025","com.talendradar.tests.api.admin.sessions.RevokeSessionTests","User Management Tests","com.talendradar.tests.api.admin.sessions.RevokeSessionTests","verifyAdminCanRevokeSession"
"Verify login fails with {desc}","10032","verifyLoginIsUnauthorizedGivenInvalidCredentials","End-to-End TestSuite","Tue Jul 22 09:22:24 GMT 2025","failed","Tue Jul 22 09:22:34 GMT 2025","com.talendradar.tests.e2e.auth.LoginTests","Auth Module Tests","com.talendradar.tests.e2e.auth.LoginTests","verifyLoginIsUnauthorizedGivenInvalidCredentials"
"Verify only admin can revoke session","2252","verifyOnlyAdminCanRevokeSession","API TestSuite","Tue Jul 22 09:22:16 GMT 2025","failed","Tue Jul 22 09:22:18 GMT 2025","com.talendradar.tests.api.admin.sessions.RevokeSessionTests","User Management Tests","com.talendradar.tests.api.admin.sessions.RevokeSessionTests","verifyOnlyAdminCanRevokeSession"
"Verify registration fails given {desc}","1974","verifyRegistrationFailsGivenInvalidUserInfo","API TestSuite","Tue Jul 22 09:21:56 GMT 2025","passed","Tue Jul 22 09:21:58 GMT 2025","com.talendradar.tests.api.users.registration.RegisterUserTests","Authentication Tests","com.talendradar.tests.api.users.registration.RegisterUserTests","verifyRegistrationFailsGivenInvalidUserInfo"
